DateTime,Source,Nitrate Load
2016-08-23,SWAT,0.03267
2016-08-23,USGS,0.080352511
2016-08-24,LIS-SWAT,0.02473
2016-08-24,SWAT,0.03294
2016-08-24,USGS,0.079404294
2016-08-25,LIS-SWAT,0.0228
2016-08-25,SWAT,0.03363
2016-08-26,LIS-SWAT,0.02267
2016-08-26,SWAT,0.03473
2016-08-27,LIS-SWAT,0.02293
2016-08-27,SWAT,0.03575
2016-08-27,USGS,0.07484928
2016-08-28,LIS-SWAT,0.02322
2016-08-28,SWAT,0.037
2016-08-28,USGS,0.076205588
2016-08-29,LIS-SWAT,0.02358
2016-08-29,SWAT,0.03869
2016-08-29,USGS,0.081471398
2016-08-30,LIS-SWAT,0.02461
2016-08-30,SWAT,0.0779
2016-08-30,USGS,0.088038991
2016-08-31,LIS-SWAT,0.0283
2016-08-31,SWAT,0.08532
2016-08-31,USGS,0.104748941
2016-09-01,LIS-SWAT,0.02868
2016-09-01,SWAT,0.08452
2016-09-01,USGS,0.092787414
2016-09-02,LIS-SWAT,0.02956
2016-09-02,SWAT,0.0841
2016-09-02,USGS,0.090633263
2016-09-03,LIS-SWAT,0.03049
2016-09-03,SWAT,0.08192
2016-09-03,USGS,0.087529183
2016-09-04,LIS-SWAT,0.03109
2016-09-04,SWAT,0.07973
2016-09-04,USGS,0.077366042
2016-09-05,LIS-SWAT,0.0318
2016-09-05,SWAT,0.08228
2016-09-05,USGS,0.068155275
2016-09-06,LIS-SWAT,0.03229
2016-09-06,SWAT,0.08223
2016-09-06,USGS,0.056780821
2016-09-07,LIS-SWAT,0.0536
2016-09-07,SWAT,0.07913
2016-09-07,USGS,0.04593378
2016-09-08,LIS-SWAT,0.04415
2016-09-08,SWAT,0.08409
2016-09-08,USGS,0.058025387
2016-09-09,LIS-SWAT,0.0422
2016-09-09,SWAT,0.08766
2016-09-09,USGS,0.073251883
2016-09-10,LIS-SWAT,0.04646
2016-09-10,SWAT,0.08274
2016-09-10,USGS,0.079177387
2016-09-11,LIS-SWAT,0.05685
2016-09-11,SWAT,0.08223
2016-09-11,USGS,0.083938035
2016-09-12,LIS-SWAT,0.05459
2016-09-12,SWAT,0.1685
2016-09-12,USGS,0.07995469
2016-09-13,LIS-SWAT,0.05316
2016-09-13,SWAT,0.1551
